AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Age,Complain,Education,Income,Kidhome,Marital_Status,MntFishProducts,MntFruits,MntGoldProds,MntMeatProducts,MntSweetProducts,MntWines,NumCatalogPurchases,NumDealsPurchases,NumStorePurchases,NumWebPurchases,NumWebVisitsMonth,Recency,Teenhome,Time_Customer,Response
0,0,0,0,0,70,0,2n Cycle,62972,0,Married,20,15,192,47,0,313,4,2,3,7,6,39,1,12.693150684931506,0
0,0,0,0,0,65,0,Graduation,62807,0,Together,10,28,99,135,21,526,3,3,12,5,5,83,1,12.616438356164384,0
0,0,0,0,0,50,0,Graduation,76532,1,Together,90,30,30,177,138,355,5,4,7,9,5,38,1,11.591780821917808,0
0,0,0,0,0,39,0,2n Cycle,20491,0,Together,4,4,10,5,2,5,1,1,2,0,7,16,0,12.213698630136987,0
0,0,0,0,1,42,0,Graduation,78687,0,Together,145,185,241,687,55,817,6,1,8,4,2,13,0,12.676712328767124,1
1,0,0,1,1,39,0,Graduation,92910,0,Married,179,137,33,792,103,551,7,1,13,6,1,42,0,10.96986301369863,0
0,0,0,0,0,75,0,PhD,59292,0,Together,19,14,14,68,14,378,5,2,8,3,3,71,1,11.832876712328767,0
0,0,0,0,0,42,0,PhD,23536,1,Married,0,0,1,3,0,6,0,1,3,0,3,53,0,10.857534246575343,0
0,0,0,0,0,70,0,Graduation,42586,1,Together,0,2,0,56,0,194,1,5,6,4,8,7,1,12.454794520547946,1
0,0,0,0,0,54,0,Graduation,36715,1,Married,21,10,16,125,13,172,2,6,4,7,9,16,0,12.402739726027397,1
0,0,0,0,0,40,0,2n Cycle,33812,1,Single,30,17,39,19,24,4,1,2,3,2,6,86,0,12.441095890410958,0
0,0,0,0,0,67,0,2n Cycle,26490,0,Together,21,47,25,52,20,45,1,2,5,3,6,92,0,12.556164383561644,0
0,0,0,0,0,55,0,2n Cycle,23162,1,Married,19,3,22,9,4,8,1,3,3,1,6,82,1,11.30958904109589,0
0,0,0,0,0,66,0,Graduation,23295,0,Divorced,2,0,5,1,12,0,0,1,2,1,8,72,0,11.75068493150685,0
